"GEOID","NAME","tot_popE","pop_den","white_ratio","black_ratio","other_ratio","median_incomeE","less_than_hs_ratio","Commercial","HighdensityResidential","Industrial","Institutional","LowdensityResidential","ResidentialCommercial","min_station_dist"
"131210057001","Block Group 1; Census Tract 57; Fulton County; Georgia",415,0.00172157925905489,0.0481927710843374,0.91566265060241,0.036144578313253,24006,0.155080213903743,7.86,7.13,0,0.05,84.95,0,2161.02353421826
"131210032002","Block Group 2; Census Tract 32; Fulton County; Georgia",1503,0.00216963325307296,0.756487025948104,0.0731869594145043,0.107119095143047,75688,0.0104909777591272,10.49,1,22.66,29.39,28.44,8.01,1766.9157945273
"131210060003","Block Group 3; Census Tract 60; Fulton County; Georgia",1155,0.0028932661088636,0.0606060606060606,0.914285714285714,0,32235,0.0894759267149553,1.7,2.61,0,0,92.62,3.07,1383.06015611155
"131210086012","Block Group 2; Census Tract 86.01; Fulton County; Georgia",1032,0.000938086985769481,0.0823643410852713,0.917635658914729,0,14520,0.208888888888889,1.95,7.12,0,0,79.68,11.25,1047.36945557064
"131210085001","Block Group 1; Census Tract 85; Fulton County; Georgia",351,0.000348392266908303,0,1,0,24560,0.156340057636888,0.3,19.08,7.49,0.24,47.59,25.21,2718.31982337259
"131210025002","Block Group 2; Census Tract 25; Fulton County; Georgia",1640,0.00485396556630744,0.103048780487805,0.799390243902439,0.0201219512195122,16329,0.221764974851395,0,27.35,0,0,52.4,20.25,701.563648408667
"131210012042","Block Group 2; Census Tract 12.04; Fulton County; Georgia",643,0.00566560285467352,0.810264385692068,0,0.189735614307932,87083,0,0,50.4,0,0,49.6,0,296.069092699993
"131210023001","Block Group 1; Census Tract 23; Fulton County; Georgia",355,0.00153181449870341,0,1,0,27697,0.102189781021898,0,11.06,0,0,78.21,10.71,907.982711892949
"131210084001","Block Group 1; Census Tract 84; Fulton County; Georgia",577,0.00112211487216464,0.150779896013865,0.849220103986135,0,25136,0.0729653882132834,1.7,0,1.63,0,96.33,0.34,2164.67689849645
"131210067012","Block Group 2; Census Tract 67.01; Fulton County; Georgia",1557,0.00719981789577431,0.0173410404624277,0.978163134232498,0,23413,0.167397660818713,22.48,8.78,2.39,0,66.36,0,1781.40181680143
"130890209011","Block Group 1; Census Tract 209.01; DeKalb County; Georgia",1696,0.001047572331084,0.52122641509434,0.251768867924528,0.168042452830189,58431,0.0660611065235343,14.12,3.6,4.14,1.33,76.56,0.2,1783.47468557661
"130890205003","Block Group 3; Census Tract 205; DeKalb County; Georgia",1023,0.00215009959803571,0.604105571847507,0.26197458455523,0.032258064516129,53194,0.0683788121990369,3.96,9.23,0.08,0,86.73,0,1199.27816010775
"130890209021","Block Group 1; Census Tract 209.02; DeKalb County; Georgia",1412,0.0015631324704649,0.606232294617564,0.335694050991501,0.0169971671388102,32772,0.00497760079641613,1.5,0,0,0,97.77,0,2061.99060477069
"131210019023","Block Group 3; Census Tract 19.02; Fulton County; Georgia",590,0.00190635601814224,0.145762711864407,0.574576271186441,0.0542372881355932,61198,0.0289634146341463,99.9,0.1,0,0,0,0,565.423393576913
"131210119022","Block Group 2; Census Tract 119.02; Fulton County; Georgia",618,0.00466143751713144,0.574433656957929,0.210355987055016,0.140776699029126,46126,0.139204545454545,29.14,3.22,15.14,0,27.46,25.02,1577.31530573911
"131210089052","Block Group 2; Census Tract 89.05; Fulton County; Georgia",1044,0.000716969882844678,0.579501915708812,0.247126436781609,0.10727969348659,74537,0.0159525979945305,0,8.64,74.79,0,0.5,16.12,2873.30893100859
"131210015021","Block Group 1; Census Tract 15.02; Fulton County; Georgia",1373,0.0031959342716673,0.643845593590677,0.0633648943918427,0.29278951201748,61111,0.0550401978973408,4.25,9.93,0,0,84.7,1.13,2738.97164640099
"131210089081","Block Group 1; Census Tract 89.08; Fulton County; Georgia",2482,0.0067657262896927,0.136583400483481,0.829975825946817,0.0124899274778405,46808,0.08300395256917,52.37,11.19,0.01,0.05,18.54,17.83,2404.04744610944
"131210090022","Block Group 2; Census Tract 90.02; Fulton County; Georgia",1511,0.00177717633664617,0.85969556585043,0,0.0509596293845136,136422,0,0,0,0,0,99.9,0.09,3824.58202252508
"131210067021","Block Group 1; Census Tract 67.02; Fulton County; Georgia",850,0.000779087059225584,0.0458823529411765,0.954117647058824,0,43818,0.121332275971451,0,4.5,20,3.07,63.31,9.11,1699.91331738192
"131210094052","Block Group 2; Census Tract 94.05; Fulton County; Georgia",1098,0.00344079567441664,0.489071038251366,0.3816029143898,0.129326047358834,51169,0,62.59,29.33,8.08,0,0,0,617.087123278209
"131210092012","Block Group 2; Census Tract 92.01; Fulton County; Georgia",994,0.00281960215027242,0.528169014084507,0.177062374245473,0.104627766599598,37198,0.098699311400153,17.49,28.9,13.74,0.04,15.07,20.96,1795.3156711514
"131210100071","Block Group 1; Census Tract 100.07; Fulton County; Georgia",795,0.000899408884350606,0.833962264150943,0.0515723270440252,0.10440251572327,109596,0.0564568462037638,0.06,15.17,0,0,84.74,0,2791.70750806415
"131210096071","Block Group 1; Census Tract 96.07; Fulton County; Georgia",1707,0.00633578379065813,0.718219097832455,0.224956063268893,0.0374926772114821,66042,0.0119521912350598,0,51.7,0,0,48.29,0,2419.49585678202
"131210093022","Block Group 2; Census Tract 93.02; Fulton County; Georgia",659,0.00143756740180533,1,0,0,82756,0,20.38,31.25,3.21,0,45.16,0,1022.61415513027
"131210002012","Block Group 2; Census Tract 2.01; Fulton County; Georgia",1108,0.00172766523439214,0.986462093862816,0.00902527075812274,0,80658,0.0393610952652596,4.26,14.3,2.16,0,75.81,3.47,2375.1262652536
"131210015022","Block Group 2; Census Tract 15.02; Fulton County; Georgia",754,0.00460992422750259,0.977453580901857,0,0.0225464190981432,61111,0.0550401978973408,7.57,52.5,0,0,39.93,0,2638.88287233889
"131210078102","Block Group 2; Census Tract 78.10; Fulton County; Georgia",1411,0.000879824530872341,0,0.90148830616584,0.0368532955350815,39167,0.0496156533892383,0,2.72,0,0,85.56,11.86,5449.57284118708
"131210078083","Block Group 3; Census Tract 78.08; Fulton County; Georgia",402,0.00248741377774885,0,1,0,12202,0.227904391328516,0.02,93.06,0,0,6.91,0,1702.80331083787
"131210084003","Block Group 3; Census Tract 84; Fulton County; Georgia",751,0.00243003888112048,0,1,0,25136,0.0729653882132834,5.84,49.69,3.24,0,39.77,1.45,2555.28867871047
"131210012031","Block Group 1; Census Tract 12.03; Fulton County; Georgia",1465,0.0198104930852303,0.65938566552901,0.219795221843003,0.120819112627986,60983,0.0348837209302326,43.69,0,0,0,0,56.31,997.613829556082
"131210095032","Block Group 2; Census Tract 95.03; Fulton County; Georgia",698,0.00399249412871583,0.659025787965616,0.150429799426934,0.130372492836676,38750,0.119620253164557,6.39,48,0,0,45.1,0.5,1529.74776572883
"131210001003","Block Group 3; Census Tract 1; Fulton County; Georgia",816,0.00136199256550435,0.794117647058823,0.0122549019607843,0.0955882352941176,90366,0.0158652672687332,2.02,0,0,0,97.98,0,3180.02075813493
"131210100062","Block Group 2; Census Tract 100.06; Fulton County; Georgia",2893,0.00674386544845773,0.541652264085724,0.327341859661251,0.111648807466298,84167,0,97.78,0.38,0,0,1.83,0,1487.58067920447
"131210077093","Block Group 3; Census Tract 77.09; Fulton County; Georgia",1425,0.00139602188442309,0,1,0,48889,0.073037542662116,0,0,22.55,0,36.81,40.53,7496.72156007388
"131210118011","Block Group 1; Census Tract 118.01; Fulton County; Georgia",624,0.00111627819963654,0.354166666666667,0.506410256410256,0.0897435897435897,52762,0.0795454545454545,12.23,2.87,36.33,0,0.02,48.43,1107.29019007813
"131210077053","Block Group 3; Census Tract 77.05; Fulton County; Georgia",1402,0.000996773709017354,0,1,0,28825,0.0459809264305177,18.7,4.9,0,0.76,53.73,15.88,5296.63233075455
"131210091031","Block Group 1; Census Tract 91.03; Fulton County; Georgia",1007,0.00482120034197204,0.723932472691162,0.110228401191658,0.131082423038729,68108,0.00399419026870007,22.14,30.51,0,0,47.34,0,2778.74345842886
"131210090011","Block Group 1; Census Tract 90.01; Fulton County; Georgia",1021,0.00122148350969947,0.866797257590597,0.0401567091087169,0.0470127326150832,66591,0.0180460485376478,0.01,10.64,0,0,85.02,4.33,2798.297519522
"131210073013","Block Group 3; Census Tract 73.01; Fulton County; Georgia",131,0.000262357091631053,0.0229007633587786,0.977099236641221,0,32062,0.0658964484381686,39.23,15.22,13.72,0,31.83,0,2580.0371461684
"131210067011","Block Group 1; Census Tract 67.01; Fulton County; Georgia",1259,0.00188109172413844,0.0579825258141382,0.904686258935663,0,23413,0.167397660818713,7.54,30.22,0.01,0,62.23,0,1046.12939751543
"131210078072","Block Group 2; Census Tract 78.07; Fulton County; Georgia",2648,0.00219308776259486,0.0181268882175227,0.958081570996979,0,18784,0.322064869803563,7.59,12.57,0,0,79.71,0.14,383.31438522903
"131210091051","Block Group 1; Census Tract 91.05; Fulton County; Georgia",657,0.00138189135220499,1,0,0,122200,0.00881612090680101,11.73,4.13,0,0,84.14,0,2672.98514751024
"131210057002","Block Group 2; Census Tract 57; Fulton County; Georgia",833,0.00163913288764467,0.0192076830732293,0.966386554621849,0.00600240096038415,24006,0.155080213903743,8.21,15.33,38.66,0,37.83,0,1887.8741505973
"131210006022","Block Group 2; Census Tract 6.02; Fulton County; Georgia",372,0.0156301676491407,0.68010752688172,0.233870967741935,0.0860215053763441,50718,0.0246669955599408,100,0,0,0,0,0,907.535163099717
"131210011022","Block Group 2; Census Tract 11.02; Fulton County; Georgia",1899,0.0115458248971993,0.747761979989468,0.0932069510268562,0.0616113744075829,85901,0.00549095607235142,0,0.08,0,0,0,99.92,328.057514490558
"131210012041","Block Group 1; Census Tract 12.04; Fulton County; Georgia",1296,0.00673902626838536,0.740740740740741,0.0324074074074074,0.0231481481481481,87083,0,0,43.07,0,0,56.9,0.03,430.181837245381
"131210012052","Block Group 2; Census Tract 12.05; Fulton County; Georgia",667,0.00456757386462121,0.559220389805097,0.263868065967017,0.119940029985007,73712,0,0.13,0.03,0,0,0,99.83,858.162796547415
"131210089071","Block Group 1; Census Tract 89.07; Fulton County; Georgia",1173,0.00338966463753922,0.920716112531969,0.0375106564364876,0.0161977834612106,69167,0.0214435146443515,0.13,90.83,0,0,9.03,0,4589.45155863959
"131210098042","Block Group 2; Census Tract 98.04; Fulton County; Georgia",862,0.000629733163357064,0.893271461716937,0,0.106728538283063,96301,0,0,0.01,0,0,99.99,0,4321.09206653126
"131210006012","Block Group 2; Census Tract 6.01; Fulton County; Georgia",1635,0.00519409186264934,0.595718654434251,0.195718654434251,0.173088685015291,33043,0.0603060306030603,33.68,2.41,3.3,0.08,58.17,2.35,264.498829320474
"131210006013","Block Group 3; Census Tract 6.01; Fulton County; Georgia",1053,0.00581538511599846,0.504273504273504,0.117758784425451,0.196581196581197,33043,0.0603060306030603,7.82,4.09,0,0.01,87.12,0.95,218.688283431637
"131210092031","Block Group 1; Census Tract 92.03; Fulton County; Georgia",1318,0.00159226168659365,0.373292867981791,0.408952959028832,0.103945371775417,55082,0.0419716935090288,17.85,7.69,32.52,0,28.99,12.95,1428.72979206592
"131210021002","Block Group 2; Census Tract 21; Fulton County; Georgia",643,0.00565485003191153,0.0948678071539658,0.853810264385692,0.0186625194401244,34902,0.0424507658643326,0.04,99.85,0,0,0,0.11,936.286215083446
"131210091032","Block Group 2; Census Tract 91.03; Fulton County; Georgia",1562,0.0155786439492689,0.562099871959027,0.318181818181818,0.119718309859155,68108,0.00399419026870007,0,70.51,1.52,0,27.97,0,2229.21799359201
"131210100031","Block Group 1; Census Tract 100.03; Fulton County; Georgia",1960,0.00177929066117337,0.951530612244898,0.0336734693877551,0.011734693877551,86201,0.044466082440766,6.87,17.76,0,0.26,74.52,0.49,2284.35860230484
"131210025003","Block Group 3; Census Tract 25; Fulton County; Georgia",784,0.00497756290957074,0.0165816326530612,0.934948979591837,0.0127551020408163,16329,0.221764974851395,5.9,30.91,0,0,14.49,48.7,723.11656059505
"131210026002","Block Group 2; Census Tract 26; Fulton County; Georgia",112,0.000164635197012403,0,0.901785714285714,0,22019,0.123439667128988,68.14,0,0,0,13.94,17.91,592.609716553069
