OBJECTID,Report Number,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,x,y
70832,222812036,10/9/2022 4:54:06 AM,10/9/2022 3:00:00 AM,10/9/2022 3:44:00 AM,Saturday,7,1,110,2255 PERRY BLVD NW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Morning Watch,-84.463794,33.806036,Scotts Crossing,G,9,Part II,1,046079eb-72ec-4748-bf60-db80481da5e9,-84.463794,33.8060360000001
70833,222812075,10/9/2022 7:39:53 AM,10/9/2022 1:00:00 AM,10/9/2022 3:13:00 AM,Saturday,7,5,509,565 PEACHTREE ST NE,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.384995,33.77001,Downtown,M,2,Part I,1,40145579-2ca1-4325-ac7c-f4cde2defe9e,-84.3849949999999,33.7700100000001
70834,222812100,10/10/2022 4:01:30 AM,10/9/2022 3:24:00 AM,10/9/2022 4:00:00 AM,Saturday,7,5,507,TRENHOLM ST SW / BETTYS ALY SW,Highway/ Road/ Alley/ Street/ Sidewalk,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.404861,33.74641,Castleberry Hill,M,4,Part I,2,9da7f18a-c316-4719-b47b-adb4bc6d7620,-84.404861,33.74641
70835,222812150,10/10/2022 3:17:41 AM,10/9/2022 3:48:00 AM,10/9/2022 4:00:00 AM,Saturday,7,5,501,261 19TH ST NW,Highway/ Road/ Alley/ Street/ Sidewalk,13A,Aggravated Assault,PERSON,Y,,,Morning Watch,-84.396765,33.793708,Atlantic Station,E,3,Part I,1,b7762db0-10e0-4a2b-8cfd-7da6f2154fcd,-84.396765,33.793708
70836,222820412,10/9/2022 10:39:08 AM,10/9/2022 6:20:00 AM,10/9/2022 8:53:00 AM,Sunday,1,1,102,282 SCIPLE TER NW,Residence/ Home / Apartment / Condo,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.41534,33.762374,Vine City,L,3,Part I,2,907a4131-452b-4598-88e1-4acddd7024e5,-84.41534,33.7623740000001
70837,222820479,10/9/2022 12:24:13 PM,10/9/2022 10:30:00 AM,10/9/2022 10:39:00 AM,Sunday,1,5,511,15 WALL ST SE,Highway/ Road/ Alley/ Street/ Sidewalk,120,Robbery,PROPERTY,Y,,,Day Watch,-84.390156,33.753573,Downtown,M,2,Part I,1,9aa7c4c9-1053-4aad-86a4-1b598ebed1e7,-84.390156,33.7535730000001
70838,222820513,10/9/2022 12:46:28 PM,10/9/2022 1:00:00 AM,10/9/2022 12:00:00 PM,Saturday,7,6,611,25 1ST AVE NE,Residence/ Home / Apartment / Condo,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.310941,33.752021,East Lake,O,5,Part I,1,42161a97-9554-4f4e-ab01-132785ce99b2,-84.310941,33.7520210000001
70839,222820544,10/9/2022 12:34:50 PM,10/9/2022 11:59:00 AM,10/9/2022 12:36:00 PM,Sunday,1,5,505,800 PEACHTREE ST NE,Highway/ Road/ Alley/ Street/ Sidewalk,13B,Simple Assault,PERSON,N,,,Day Watch,-84.38478,33.776554,Midtown,E,2,Part II,1,49184f75-d8ae-4785-a53e-5f7bbe924ccb,-84.38478,33.776554
70840,222820610,10/9/2022 1:34:19 PM,10/8/2022 11:00:00 PM,10/9/2022 12:30:00 PM,Saturday,7,4,401,835 OGLETHORPE AVE SW,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Evening Watch,-84.415068,33.736451,West End,T,4,Part I,1,857ea82c-4823-4d04-960c-3d280634f658,-84.415068,33.736451
70841,222820627,10/9/2022 1:59:50 PM,10/9/2022 12:45:00 PM,10/9/2022 1:10:00 PM,Sunday,1,6,611,81 CARTER AVE SE,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Day Watch,-84.305487,33.749561,East Lake,O,5,Part II,1,96c41d98-8e96-4f08-980f-555f432935b8,-84.305487,33.749561
